x
1	264276
2	8565
3	13292
4	88304
5	12477
6	80840
7	1530
8	11150
9	49275
10	71979
11	2786
12	36856
13	379
14	19322
15	98680
16	2803
17	13876
18	4939
19	11770
20	4773
21	4779
22	2861
23	22628
24	1335
25	2731
26	14083
27	1823
28	2749
29	5554
30	1125
31	1019
32	2115
33	12397
34	899
35	1225
36	471
37	827
38	7489
39	11940
40	854
41	2037
42	782
43	1443
44	3604
45	2192
46	10292
47	1542
48	1186
49	542
50	757
51	1672
52	3106
53	1214
54	1782
55	3522
56	753
57	1303
58	774
59	709
60	1951
61	439
62	1239
63	1948
64	2914
65	958
66	1653
67	874
81	1851
82	717
83	279
84	820
85	3307
86	1943
87	3462
88	2488
89	2624
90	3743
91	1976
92	24055
93	27722
94	1588
95	524
96	4570
97	1473
98	724
99	6843
100	2227
101	542
102	3617
103	857
104	808
105	1302
106	2897
107	865
108	31051
109	9164
110	750
111	22809
112	8177
113	539
114	2378
115	2143
116	1661
117	3277
118	43035
119	13209
120	14972
121	37364
122	5061
123	627
124	11386
125	6466
126	2144
127	1084
128	664
129	7350
130	1824
131	4225
132	3831
133	13281
134	3283
135	4162
136	1313
137	19543
138	48249
139	7720
140	1413
141	90553
142	67895
143	3335
144	643
145	1865
146	7250
147	338444
