"","X","x","spectrum.density","library","TF","pos"
"1",1,0.025,0.258946025413854,"NCAP-SELEX","CDX1","Region 35-74"
"2",2,0.05,0.356932003328796,"NCAP-SELEX","CDX1","Region 35-74"
"3",3,0.075,0.393481105185279,"NCAP-SELEX","CDX1","Region 35-74"
"4",4,0.1,0.403243671870591,"NCAP-SELEX","CDX1","Region 35-74"
"5",5,0.125,0.399088297993821,"NCAP-SELEX","CDX1","Region 35-74"
"6",6,0.15,0.391361850210816,"NCAP-SELEX","CDX1","Region 35-74"
"7",7,0.175,0.394650644040106,"NCAP-SELEX","CDX1","Region 35-74"
"8",8,0.2,0.410138900554787,"NCAP-SELEX","CDX1","Region 35-74"
"9",9,0.225,0.407808124215762,"NCAP-SELEX","CDX1","Region 35-74"
"10",10,0.25,0.412063669898741,"NCAP-SELEX","CDX1","Region 35-74"
"11",11,0.275,0.415019967039615,"NCAP-SELEX","CDX1","Region 35-74"
"12",12,0.3,0.408054012766734,"NCAP-SELEX","CDX1","Region 35-74"
"13",13,0.325,0.408327168761601,"NCAP-SELEX","CDX1","Region 35-74"
"14",14,0.35,0.400830650017614,"NCAP-SELEX","CDX1","Region 35-74"
"15",15,0.375,0.404059794719244,"NCAP-SELEX","CDX1","Region 35-74"
"16",16,0.4,0.40257572385893,"NCAP-SELEX","CDX1","Region 35-74"
"17",17,0.425,0.38093113779559,"NCAP-SELEX","CDX1","Region 35-74"
"18",18,0.45,0.382849200202328,"NCAP-SELEX","CDX1","Region 35-74"
"19",19,0.475,0.375886092402162,"NCAP-SELEX","CDX1","Region 35-74"
"20",20,0.5,0.377270187990476,"NCAP-SELEX","CDX1","Region 35-74"
"21",21,0.025,0.240668893438148,"Nucleosome-SELEX","CDX1","Region 35-74"
"22",22,0.05,0.324061371255111,"Nucleosome-SELEX","CDX1","Region 35-74"
"23",23,0.075,0.341940486101697,"Nucleosome-SELEX","CDX1","Region 35-74"
"24",24,0.1,0.432613174651564,"Nucleosome-SELEX","CDX1","Region 35-74"
"25",25,0.125,0.351837131147848,"Nucleosome-SELEX","CDX1","Region 35-74"
"26",26,0.15,0.35722505966651,"Nucleosome-SELEX","CDX1","Region 35-74"
"27",27,0.175,0.358062340425408,"Nucleosome-SELEX","CDX1","Region 35-74"
"28",28,0.2,0.352884841717336,"Nucleosome-SELEX","CDX1","Region 35-74"
"29",29,0.225,0.375498070145696,"Nucleosome-SELEX","CDX1","Region 35-74"
"30",30,0.25,0.364981920257597,"Nucleosome-SELEX","CDX1","Region 35-74"
"31",31,0.275,0.355907864374189,"Nucleosome-SELEX","CDX1","Region 35-74"
"32",32,0.3,0.342019751635575,"Nucleosome-SELEX","CDX1","Region 35-74"
"33",33,0.325,0.36138438327213,"Nucleosome-SELEX","CDX1","Region 35-74"
"34",34,0.35,0.363258778480365,"Nucleosome-SELEX","CDX1","Region 35-74"
"35",35,0.375,0.362489419879334,"Nucleosome-SELEX","CDX1","Region 35-74"
"36",36,0.4,0.366591451759381,"Nucleosome-SELEX","CDX1","Region 35-74"
"37",37,0.425,0.354737700648712,"Nucleosome-SELEX","CDX1","Region 35-74"
"38",38,0.45,0.366822544885165,"Nucleosome-SELEX","CDX1","Region 35-74"
"39",39,0.475,0.37689713070104,"Nucleosome-SELEX","CDX1","Region 35-74"
"40",40,0.5,0.363793709461586,"Nucleosome-SELEX","CDX1","Region 35-74"
"41",41,0.025,0.286078319748858,"HT-SELEX","CDX1","Region 35-74"
"42",42,0.05,0.411108566065038,"HT-SELEX","CDX1","Region 35-74"
"43",43,0.075,0.497228252789411,"HT-SELEX","CDX1","Region 35-74"
"44",44,0.1,0.421621836528628,"HT-SELEX","CDX1","Region 35-74"
"45",45,0.125,0.476525006491096,"HT-SELEX","CDX1","Region 35-74"
"46",46,0.15,0.363468201162604,"HT-SELEX","CDX1","Region 35-74"
"47",47,0.175,0.387123968146265,"HT-SELEX","CDX1","Region 35-74"
"48",48,0.2,0.427893894716345,"HT-SELEX","CDX1","Region 35-74"
"49",49,0.225,0.411615464932496,"HT-SELEX","CDX1","Region 35-74"
"50",50,0.25,0.438387139855532,"HT-SELEX","CDX1","Region 35-74"
"51",51,0.275,0.370708728975062,"HT-SELEX","CDX1","Region 35-74"
"52",52,0.3,0.40150450902911,"HT-SELEX","CDX1","Region 35-74"
"53",53,0.325,0.371338684397536,"HT-SELEX","CDX1","Region 35-74"
"54",54,0.35,0.363625083297543,"HT-SELEX","CDX1","Region 35-74"
"55",55,0.375,0.358293425038529,"HT-SELEX","CDX1","Region 35-74"
"56",56,0.4,0.371128034089651,"HT-SELEX","CDX1","Region 35-74"
"57",57,0.425,0.388632422079552,"HT-SELEX","CDX1","Region 35-74"
"58",58,0.45,0.395980602190413,"HT-SELEX","CDX1","Region 35-74"
"59",59,0.475,0.324100021403713,"HT-SELEX","CDX1","Region 35-74"
"60",60,0.5,0.417985217338782,"HT-SELEX","CDX1","Region 35-74"
"61",1,0.025,0.243694115288242,"NCAP-SELEX","YBX1","Region 35-74"
"62",2,0.05,0.334540592842924,"NCAP-SELEX","YBX1","Region 35-74"
"63",3,0.075,0.356320656816475,"NCAP-SELEX","YBX1","Region 35-74"
"64",4,0.1,0.358908935207097,"NCAP-SELEX","YBX1","Region 35-74"
"65",5,0.125,0.362301362218339,"NCAP-SELEX","YBX1","Region 35-74"
"66",6,0.15,0.364484764336567,"NCAP-SELEX","YBX1","Region 35-74"
"67",7,0.175,0.363476707650963,"NCAP-SELEX","YBX1","Region 35-74"
"68",8,0.2,0.360634074194969,"NCAP-SELEX","YBX1","Region 35-74"
"69",9,0.225,0.371136114396864,"NCAP-SELEX","YBX1","Region 35-74"
"70",10,0.25,0.377522254404107,"NCAP-SELEX","YBX1","Region 35-74"
"71",11,0.275,0.384176078594387,"NCAP-SELEX","YBX1","Region 35-74"
"72",12,0.3,0.382747151115018,"NCAP-SELEX","YBX1","Region 35-74"
"73",13,0.325,0.394297558788127,"NCAP-SELEX","YBX1","Region 35-74"
"74",14,0.35,0.380428506729953,"NCAP-SELEX","YBX1","Region 35-74"
"75",15,0.375,0.380483953650158,"NCAP-SELEX","YBX1","Region 35-74"
"76",16,0.4,0.3834952491751,"NCAP-SELEX","YBX1","Region 35-74"
"77",17,0.425,0.380129956693059,"NCAP-SELEX","YBX1","Region 35-74"
"78",18,0.45,0.378557644528861,"NCAP-SELEX","YBX1","Region 35-74"
"79",19,0.475,0.380971187852353,"NCAP-SELEX","YBX1","Region 35-74"
"80",20,0.5,0.364037717462417,"NCAP-SELEX","YBX1","Region 35-74"
"81",21,0.025,0.240221386968865,"Nucleosome-SELEX","YBX1","Region 35-74"
"82",22,0.05,0.333212741864347,"Nucleosome-SELEX","YBX1","Region 35-74"
"83",23,0.075,0.347169219288225,"Nucleosome-SELEX","YBX1","Region 35-74"
