posision,c_score_norm,c_score_unnorm
25,1.9212157726287842,0.7516154646873474
26,1.733248233795166,0.6599058508872986
27,1.5154849290847778,0.5536588430404663
28,0.9234286546707153,0.2647938132286072
29,1.3145161867141724,0.4556059241294861
30,1.4914638996124268,0.5419389605522156
31,1.570325493812561,0.5804156064987183
32,1.1584548950195312,0.37946343421936035
33,1.0495998859405518,0.32635289430618286
34,1.349510908126831,0.47267991304397583
35,1.7909663915634155,0.6880666017532349
36,2.2308189868927,0.9026712775230408
37,2.084476947784424,0.8312707543373108
38,1.836063265800476,0.7100694179534912
39,1.9222509860992432,0.7521205544471741
40,2.491772174835205,1.029990792274475
41,2.926947832107544,1.2423135042190552
42,2.8663620948791504,1.2127536535263062
43,2.491325616836548,1.0297728776931763
44,2.6554417610168457,1.1098453998565674
45,2.538339138031006,1.052710771560669
46,3.038752794265747,1.296863317489624
47,2.2545278072357178,0.9142388701438904
48,2.076225757598877,0.8272450566291809
49,1.6020610332489014,0.5958994030952454
50,2.1320481300354004,0.8544808030128479
51,2.181062936782837,0.8783952593803406
52,2.2167086601257324,0.8957868218421936
53,1.9144521951675415,0.7483155131340027
54,2.093651533126831,0.8357470631599426
55,2.385218858718872,0.978003203868866
56,2.7118396759033203,1.137362003326416
57,2.200047492980957,0.8876578211784363
58,1.756882667541504,0.6714370846748352
59,1.5664176940917969,0.5785089731216431
60,2.0700743198394775,0.8242437243461609
61,2.2474889755249023,0.9108045697212219
62,1.9834777116775513,0.7819931507110596
63,1.4601759910583496,0.5266735553741455
64,1.3339015245437622,0.46506404876708984
65,1.7812483310699463,0.6833251714706421
66,1.7906421422958374,0.687908411026001
67,1.5273128747940063,0.5594297051429749
68,1.3294432163238525,0.46288883686065674
69,1.4610406160354614,0.527095377445221
70,1.720967411994934,0.6539140343666077
71,1.7956949472427368,0.6903736591339111
72,1.5754135847091675,0.5828980803489685
73,1.3064724206924438,0.45168137550354004
74,1.192276120185852,0.3959648013114929
75,1.197176456451416,0.39835572242736816
76,1.1414926052093506,0.3711875081062317
77,0.9450289607048035,0.27533262968063354
78,0.9627705216407776,0.2839887738227844
79,0.9284077882766724,0.2672231197357178
80,0.8146616816520691,0.21172626316547394
81,0.8842632174491882,0.2456849366426468
82,0.5711308717727661,0.09290723502635956
83,0.5507659912109375,0.08297120034694672
84,0.8726606965065002,0.24002404510974884
85,0.9955133199691772,0.2999640107154846
86,0.5611860752105713,0.08805517852306366
87,0.42328882217407227,0.02077491581439972
88,0.3885973393917084,0.0038488954305648804
89,0.7094025611877441,0.16037018597126007
90,0.7522462010383606,0.1812736541032791
91,0.71880042552948,0.16495542228221893
92,0.5162786245346069,0.06614474952220917
93,0.6362017393112183,0.12465541064739227
94,0.6285613775253296,0.12092767655849457
95,1.0075241327285767,0.3058241009712219
96,0.602029025554657,0.10798250138759613
97,0.768057644367218,0.1889880746603012
98,0.502577543258667,0.05945998430252075
99,0.7661754488945007,0.18806974589824677
100,0.8540316820144653,0.23093493282794952
101,1.2162967920303345,0.4076845645904541
102,0.9928242564201355,0.2986519932746887
103,1.2751916646957397,0.43641942739486694
104,1.4927383661270142,0.5425607562065125
105,1.6499443054199219,0.6192617416381836
106,1.4342745542526245,0.5140361785888672
107,1.3042360544204712,0.45059025287628174
108,1.1834354400634766,0.391651451587677
109,1.0935674905776978,0.3478047251701355
110,1.043562889099121,0.32340747117996216
111,0.8176230788230896,0.2131711095571518
112,0.49247509241104126,0.05453099310398102
113,0.43245530128479004,0.025247246026992798
114,0.45782893896102905,0.03762708604335785
115,0.629887580871582,0.12157471477985382
116,0.5588341951370239,0.08690766990184784
117,0.4871004819869995,0.0519087016582489
118,0.4478496015071869,0.03275814652442932
119,0.547110915184021,0.0811878889799118
120,0.514600396156311,0.06532596051692963
121,0.6138854622840881,0.11376728117465973
122,0.5760340690612793,0.09529952704906464
