TF	Nucleosome	NCAP	HT
TGIF2LY	0.02968820487583	0.0364473951629293	0.0255847568381338
MEIS3	0.0297811987860818	0.0378494883042852	0.0268676881505819
TGIF2LX	0.0299079316063361	0.0363787656484321	0.025958577315116
NFATC3	0.0294027267246242	0.0381927604828528	0.0339015885315769
TBX3	0.0290496192615954	0.0381237119348022	0.0341045448237769
E2F8	0.0291876533643291	0.0378844191349703	0.0442269581389677
PAX7	0.0302972274275397	0.0432619661994095	0.0357140074030781
TBX4	0.0286915253041169	0.0354361843736872	0.0298206825023981
OLIG2	0.0308304960177588	0.0386923443679533	0.0353792018783836
MEIS2	0.0297811987860818	0.0342027624912244	0.0336537384329278
ELF4	0.0293408504376821	0.0395350451115443	0.0318615333910106
NFATC4	0.0294027267246242	0.0380318845190606	0.0447550311223126
PITX3	0.0303834096937545	0.0397125312099332	0.0324518883415435
MYBL2	0.0293052571093381	0.0380493935622422	0.0313462949376376
PITX2	0.0303834096937545	0.04012450362554	0.0332518421007642
BARHL1	0.0289824412946901	0.0434393914154034	0.0414306729032418
OTX2	0.0301343706093997	0.0396142309019589	0.031009933194192
ONECUT2	0.0293371041945922	0.0372976488385574	0.030033844053064
HES5	0.0292171095850726	0.0358092558658942	0.0290009035149918
PITX1	0.0302298376975501	0.0366012368390152	0.032489043685455
TFAP2B	0.0290306855500821	0.0377124316007381	0.0337419584859437
DMBX1	0.0304169830498941	0.0401094038177136	0.0325967879021598
PKNOX2	0.02968820487583	0.036527635189994	0.0259262587619072
HMBOX1	0.0301343455559846	0.0372874027515402	0.0286596164951775
IRX5	0.0296333139181026	0.0385469701970178	0.0320756874656581
MYOG	0.0294099752064859	0.0335472690605998	0.0331837798572833
CUX1	0.0302667898840911	0.0406562089246603	0.0393119026159718
NFKB2	0.0284696287436849	0.0350572047000618	0.0274617543118124
USF2	0.0291747165466503	0.0380545264557804	0.034561069200449
TFAP2C	0.0290306855500821	0.037109023264001	0.0321666431586728
ELF1	0.0293408504376821	0.039429606948896	0.0329593267882188
ELF2	0.0295413629439388	0.0377957713117411	0.0339507931984421
ESX1	0.0304265930349537	0.041441685950728	0.0344060627372327
